"","rank","name","brewery","type","ABV","num_ratings","avg_rating"
"132","132","Taiwan Beer","Taiwan Tobacco & Liquor Corporation","Japanese Rice Lager",4.5,152,2.52
"133","133","Red Stripe Light","Desnoes & Geddes Limited","Light Lager",3.6,167,2.53
"134","134","I.C. Light","Pittsburgh Brewing Co.","Light Lager",4.15,263,2.56
"135","135","XXXX Gold","Castlemaine Perkins","American Adjunct Lager",3.5,99,2.48
"136","136","San Mig Light","San Miguel Brewery Inc.","Light Lager",5,126,2.51
"137","137","Castle Lager","South African Breweries plc","American Adjunct Lager",5,170,2.54
"138","138","New","Tooheys Brewing","American Adjunct Lager",4.6,186,2.55
"139","139","Schmidt","Pabst Brewing Company","American Adjunct Lager",4.4,186,2.55
"140","140","Tsingtao Pure Draft","Tsingtao Brewery Co., Ltd.","American Adjunct Lager",4.8,90,2.48
"141","141","Rolling Rock Extra Pale","Latrobe Brewing Co.","American Adjunct Lager",4.4,3244,2.62
"142","142","Labatt Max Ice","Labatt Brewing Company Ltd.","Malt Liquor",8,110,2.51
"143","143","Kokanee","Columbia Brewery","American Adjunct Lager",5,229,2.57
"144","144","Genesee Ice Beer","Genesee Brewing Co. / Dundee Brewing Co.","American Adjunct Lager",5.5,218,2.57
"145","145","Coors Extra Gold","Coors Brewing Company (Molson-Coors)","American Adjunct Lager",5,329,2.59
"146","146","Camo Black Extra","Camo Brewing Company","Malt Liquor",12.2,36,2.28
"147","147","The Legendary Duff Beer","DUFF Sales & Marketing E.K.","German Pilsner",4.9,66,2.44
"148","148","Redbridge","Anheuser-Busch","American Amber / Red Lager",4,557,2.61
"149","149","Palma Louca Pale Pilsner","Cervejaria Kaiser","German Pilsner",4.5,279,2.59
"150","150","Yanjing Beer","Beijing Yanjing Beer Group Corporation","European Pale Lager",4.7,261,2.59
"151","151","Beck's Non-Alcoholic","Brauerei Beck & Co.","Low-Alcohol Beer",0.5,141,2.55
"152","152","Bavaria 8.6 Original","Swinkels Family Brewers","European Strong Lager",7.9,167,2.57
"153","153","Landshark Lager","Margaritaville Brewing Co.","American Adjunct Lager",4.6,2080,2.65
"154","154","Alexander Keith's India Pale Ale","Alexander Keith's","American Blonde Ale",5,707,2.64
"155","155","Mountain Crest Classic Lager Beer","Minhas Craft Brewery","American Adjunct Lager",5.5,48,2.4
"156","156","Labatt Blue Light Lime","Labatt Brewing Company Ltd.","Light Lager",4,114,2.55
"157","157","Stroh's","Pabst Brewing Company","American Adjunct Lager",4.5,665,2.64
"158","158","Michelob Golden Draft","Anheuser-Busch","American Adjunct Lager",4.7,150,2.58
"159","159","Amnesia IPA","Indian Wells Brewing Company","American IPA",7.2,109,2.55
"160","160","Coors Banquet","Coors Brewing Company (Molson-Coors)","American Adjunct Lager",5,3405,2.66
"161","161","Old Milwaukee Non Alcoholic","Pabst Brewing Company","Low-Alcohol Beer",0.4,67,2.48
"162","162","Amstel Lager","Amstel Brouwerij B. V.","European Pale Lager",5,427,2.64
"163","163","Hahn Premium Light","Hahn Brewing Co. Pty. Ltd.","Light Lager",2.7,34,2.31
"164","164","Buckler Non-Alcoholic Brew","Heineken Nederland B.V.","Low-Alcohol Beer",0.5,173,2.6
"165","165","Skol Beer","Turk Tuborg Brewing and Malting","European Pale Lager",4.8,45,2.4
"166","166","Melbourne Bitter","Carlton & United Breweries, Ltd.","American Adjunct Lager",4.6,55,2.45
"167","167","Brahma Chopp","Companhia Cervejaria Brahma","American Adjunct Lager",5,99,2.55
"168","168","Presidente Light","Cervecería Nacional Dominicana","Light Lager",4.2,141,2.59
"169","169","Bière Du Démon","Brassierie Goulant","European Strong Lager",12,95,2.55
"170","170","Schaefer","F & M Schaefer Brewing Co.","American Adjunct Lager",4.6,298,2.64
"171","171","Natty Daddy (6%)","Anheuser-Busch","American Adjunct Lager",6,12,1.67
"172","172","Kalik","Commonwealth Brewery Ltd.","American Adjunct Lager",5,370,2.65
"173","173","Flathead Cherry Ale","Glacier Brewing Company","Fruit and Field Beer",5.5,20,2.08
"174","174","333 Premium Export Beer","Saigon Beer Company","American Adjunct Lager",5.3,73,2.52
"175","175","Hahn Super Dry","Hahn Brewing Co. Pty. Ltd.","American Adjunct Lager",4.6,51,2.45
"176","176","Old Style Light","Pabst Brewing Company","Light Lager",4.12,82,2.54
"177","177","Boxer Ice","Minhas Craft Brewery","American Adjunct Lager",5.5,38,2.37
"178","178","Royal Challenge Indian Premium Lager","Shaw Wallace & Company Ltd.","American Adjunct Lager",5,38,2.37
"179","179","Sapporo Light Beer","Sapporo Breweries Ltd.","Light Lager",3.9,93,2.56
"180","180","San Miguel Especial","San Miguel Fabricas De Cervaza Y Maltas S.A.","European Pale Lager",5.4,197,2.63
"181","181","Carling Lager","Molson Coors Canada","American Adjunct Lager",4.9,46,2.43
"182","182","Labatt Blue","Labatt Brewing Company Ltd.","American Adjunct Lager",5,2316,2.69
"183","183","Old Monk 10000","Mohan Breweries & Distilleries Ltd","Malt Liquor",8,93,2.57
"184","184","Pink Killer","Brasserie de Silly S.A.","Fruit and Field Beer",5,134,2.61
"185","185","Maclay's Traditional Pale Ale","Sleeman Breweries Ltd.","English Pale Ale",5,70,2.53
"186","186","Green's Discovery Amber Ale","Green's Gluten Free Beers","Extra Special / Strong Bitter (ESB)",6,66,2.52
"187","187","Gallo Draft","Cervecería Centro Americana, S.A.","Light Lager",4.4,29,2.29
"188","188","Yanjing 11º Premium","Beijing Yanjing Beer Group Corporation","American Adjunct Lager",4.5,25,2.23
"189","189","Red Horse Beer: Extra Strong","San Miguel Brewery Inc.","Malt Liquor",6.9,139,2.62
"190","190","Cisk XS Extra Lager","Simonds Farsons Cisk Plc.","European Strong Lager",9,21,2.14
"191","191","Labatt Ice","Labatt Brewing Company Ltd.","American Adjunct Lager",5.6,252,2.66
"192","192","Genesee Beer","Genesee Brewing Co. / Dundee Brewing Co.","American Adjunct Lager",4.5,692,2.69
"193","193","Taj Mahal Premium Lager","United Breweries - UB Group","American Adjunct Lager",4.5,582,2.69
"194","194","Hell On High Quad Bock","Rinkuškiai","Doppelbock",14,84,2.57
"195","195","Crazy Stallion","City Brewing Company, LLC","Malt Liquor",5.9,84,2.57
"196","196","Quilmes","Cervecería y Maltería Quilmes / Grupo Bemberg","European Pale Lager",4.9,548,2.69
"197","197","Lucky Buddha Enlightened Beer","The Lucky Drink Company","Japanese Rice Lager",4.8,787,2.7
"198","198","Cobra","United Breweries - UB Group","American Adjunct Lager",5,76,2.56
"199","199","Schlitz O.M.L. (Malt Liquor)","Pabst Brewing Company","Malt Liquor",5.9,211,2.66
"200","200","XXXX Bitter","Castlemaine Perkins","American Adjunct Lager",4.4,75,2.56
"201","201","I.C. Light Mango","Pittsburgh Brewing Co.","Light Lager",3.8,74,2.56
"202","202","Burleigh Bighead","Burleigh Brewing Co.","Light Lager",4.2,24,2.23
"203","203","Boris (Le Flacon D'Alsace)","Brasserie Licorne","European Pale Lager",5.5,90,2.59
"204","204","Boatswain Double IPA (Twin Screw Steamer)","Minhas Craft Brewery","Imperial IPA",8.4,554,2.7
"205","205","Boatswain American IPA","Minhas Craft Brewery","American IPA",6.7,359,2.69
"206","206","Tsingtao Beer – Icy Smooth","Taiwan Tsing Beer Co., Ltd.","American Adjunct Lager",4.5,20,2.14
"207","207","Grolsch Krachtig Kanon","Grolsch Bierbrouwerij N.V.","European Strong Lager",11.6,66,2.55
"208","208","Becks's Vier","Brauerei Beck & Co.","European Pale Lager",4,38,2.42
"209","209","Imperial Jack","Rhinelander Brewing Company","Imperial IPA",8.5,202,2.67
"210","210","Special Brew","Carlsberg Danmark A/S","European Strong Lager",9,51,2.5
"211","211","Carta Blanca","Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.","American Adjunct Lager",4.5,625,2.71
"212","212","Tiger Beer","Asia Pacific Breweries Limited","European Pale Lager",5,1199,2.72
"213","213","Lost Lake Naturally Brewed Pilsner","Melanie Brewing Company","American Lager",4.2,52,2.51
"214","214","Oculto","Anheuser-Busch","Fruit and Field Beer",6,477,2.71
"215","215","Sleeman Silver Creek Lager","Sleeman Breweries Ltd.","American Lager",5,86,2.6
"216","216","Angkor Beer","Cambrew / Angkor Brewery","American Adjunct Lager",5,70,2.57
"217","217","Amsterdam Navigator 8,4","Grolsch Bierbrouwerij N.V.","European Strong Lager",8.4,42,2.46
"218","218","Modelo Especial Chelada","Grupo Modelo S.A. de C.V.","Fruit and Field Beer",3.5,150,2.66
"219","219","Bergenbier","Bergenbier SA","European Pale Lager",5,34,2.4
"220","220","Laker Ice Premium Lager","Waterloo Brewing","American Adjunct Lager",5.5,33,2.39
"221","221","Heineken Lager Beer","Heineken Nederland B.V.","European Pale Lager",5,5731,2.74
"222","222","Miller High Life","Miller Brewing Co.","American Adjunct Lager",4.6,4342,2.74
"223","223","Ichnusa","Heineken Italia SpA","European Pale Lager",4.7,66,2.57
"224","224","Kirin Ichiban","Kirin Brewery Company, Limited","American Lager",5,2135,2.74
"225","225","Bud Light Lime Apple-Ahhh-Rita","Anheuser-Busch","Malt Liquor",8,69,2.58
"226","226","Hoegaarden Citron","Brouwerij van Hoegaarden","Fruit and Field Beer",3,34,2.41
"227","227","Chill Caribbean Beer","Brouwerij Nacional Balashi","European Pale Lager",5,61,2.56
"228","228","Finkbräu Pilsener","Oettinger Brauerei GmbH","German Pilsner",4.9,32,2.39
"229","229","Polar Pilsen","Cervecería Polar","European Pale Lager",4.5,167,2.68
"230","230","Tennent's Super Strong Lager","Tennent Caledonian Breweries","European Strong Lager",9,82,2.61
"231","231","Moosehead Light","Moosehead Breweries Ltd.","Light Lager",4,88,2.62
"232","232","Redd's Apple Ale","Miller Brewing Co.","Fruit and Field Beer",5,1131,2.74
