"","rank","name","brewery","type","ABV","num_ratings","avg_rating"
"162","162","Duet","Alpine Beer Company","American IPA",7,4580,4.33
"163","163","Shiner Bock","Spoetzl Brewery","Bock",4.5,4564,3.21
"164","164","Tripel Karmeliet","Brouwerij Bosteels","Tripel",8.4,4564,4.29
"165","165","Undercover Investigation Shut-down Ale","Lagunitas Brewing Company","American Strong Ale",9.6,4560,4.07
"166","166","Head Hunter","Fat Head's Brewery & Saloon","American IPA",7.5,4557,4.33
"167","167","Imperial Biscotti Break","Evil Twin Brewing","American Imperial Stout",11.5,4549,4.34
"168","168","Hazelnut Brown Nectar","Rogue Ales","English Brown Ale",5.6,4545,4.06
"169","169","Summerfest","Sierra Nevada Brewing Co.","Bohemian / Czech Pilsner",5,4537,3.68
"170","170","Dark Lord","3 Floyds Brewing Co.","Russian Imperial Stout",15,4527,4.28
"171","171","Focal Banger","The Alchemist","New England IPA",7,4520,4.57
"172","172","Pilsner Urquell","Plzeňský Prazdroj","Bohemian / Czech Pilsner",4.4,4509,3.63
"173","173","Hunahpu's Imperial Stout","Cigar City Brewing","American Imperial Stout",10.2,4458,4.57
"174","174","Samuel Adams Rebel IPA","Boston Beer Company (Samuel Adams)","American IPA",6.5,4454,3.59
"175","175","Festina Pêche","Dogfish Head Craft Brewery","Berliner Weisse",4.5,4448,3.66
"176","176","Hop Nosh IPA","Uinta Brewing Company","American IPA",7.3,4437,4.02
"177","177","Leffe Blonde","Abbaye de Leffe S.A.","Belgian Blonde Ale",6.6,4409,3.58
"178","178","IPA","AleSmith Brewing Company","American IPA",7.25,4408,4.23
"179","179","1554","New Belgium Brewing Company","European Dark Lager",6,4392,3.83
"180","180","Big Eye","Ballast Point Brewing Company","American IPA",7,4382,4.05
"181","181","Nelson","Alpine Beer Company","American IPA",7,4372,4.43
"182","182","IPA","Harpoon Brewery & Beer Hall","English IPA",6,4365,3.63
"183","183","Gulden Draak","Brouwerij Van Steenberge N.V.","Belgian Dark Strong Ale",10.5,4359,4.24
